Zipcode,Dispensary Count,Patient Count,Latitude,Longitude
16655,0,71,40.23,-78.5
16656,0,46,40.77,-78.55
16657,0,68,40.33,-78.18
16659,0,6,40.16,-78.39
16660,0,5,40.46,-78.05
16661,0,59,40.82,-78.44
16662,0,181,40.31,-78.32
16663,0,15,40.8,-78.35
16664,0,53,40.18,-78.42
16665,0,12,40.39,-78.43
16666,0,168,40.89,-78.33
16667,0,61,40.18,-78.53
16668,0,129,40.63,-78.64
16669,0,94,40.57,-78.04
16670,0,5,40.26,-78.51
16671,0,36,40.8,-78.39
16672,0,12,40.17,-78.24
16673,0,250,40.33,-78.39
16674,0,32,40.17,-78.09
16677,0,19,40.81,-78.24
16678,0,179,40.21,-78.24
16679,0,36,40.15,-78.2
16680,0,13,40.74,-78.38
16681,0,10,40.8,-78.43
16682,0,14,40.27,-78.46
16683,0,11,40.62,-78.14
16684,0,14,40.64,-78.3
16685,0,14,40.29,-78.08
16686,0,801,40.67,-78.24
16689,0,22,40.08,-78.08
16691,0,28,40.09,-78.18
16692,0,24,40.74,-78.68
16693,0,168,40.46,-78.2
16694,0,5,40.19,-78.13
16695,0,38,40.22,-78.36
16701,1,600,41.96,-78.64
16720,0,70,41.63,-78.08
16724,0,3,41.75,-78.39
16725,0,11,41.9,-78.66
16726,0,19,41.82,-78.58
16727,0,12,41.99,-78.53
16729,0,23,41.96,-78.5
16730,0,2,41.82,-78.42
16731,0,76,41.95,-78.38
16732,0,6,41.86,-78.62
16733,0,6,41.7,-78.58
16734,0,5,41.62,-78.84
16735,0,236,41.66,-78.8
16738,0,54,41.87,-78.66
16740,0,47,41.72,-78.64
16743,0,144,41.81,-78.27
16744,0,8,41.87,-78.57
16745,0,4,41.92,-78.45
16746,0,42,41.77,-78.16
16748,0,39,41.96,-78.19
16749,0,68,41.8,-78.44
16750,0,11,41.88,-78.32
16801,2,1799,40.79,-77.85
16802,0,27,40.8,-77.86
16803,2,1127,40.8,-77.9
16804,0,8,40.79,-77.85
16805,0,2,40.79,-77.85
16820,0,36,40.92,-77.39
16821,0,4,40.96,-78.2
16822,0,99,41.07,-77.58
16823,0,1606,40.91,-77.76
16825,0,5,40.99,-78.32
16826,0,37,41.06,-77.59
16827,0,364,40.77,-77.79
16828,0,240,40.84,-77.68
16829,0,20,41.08,-77.87
16830,0,892,41.02,-78.43
16832,0,39,40.84,-77.43
16833,0,262,40.97,-78.51
16834,0,18,41.05,-78.09
16835,0,20,40.91,-77.88
16836,0,49,41.14,-78.24
16837,0,4,40.95,-78.47
16838,0,80,40.96,-78.61
16839,0,52,41.01,-78.11
16840,0,36,40.92,-78.2
16841,0,196,41.01,-77.65
16843,0,47,41.01,-78.46
16844,0,149,40.91,-77.93
16845,0,29,41.12,-78.02
16847,0,14,41,-78.17
16848,0,12,41.01,-77.53
16849,0,8,40.97,-78.13
16850,0,2,41.07,-78.26
16851,0,85,40.81,-77.8
16852,0,18,40.94,-77.54
16853,0,61,40.94,-77.79
16854,0,79,40.89,-77.47
16855,0,6,41,-78.38
16856,0,16,40.93,-77.65
16858,0,180,41.01,-78.22
16859,0,22,41.02,-78.04
16860,0,22,40.94,-78.18
16861,0,13,40.86,-78.52
16863,0,14,40.9,-78.5
16864,0,3,41.15,-77.8
16865,0,106,40.72,-77.98
16866,0,553,40.89,-78.21
16868,0,59,40.73,-77.88
16870,0,393,40.79,-78.05
16871,0,3,41.2,-78.02
16872,0,42,40.97,-77.36
16874,0,79,41.02,-77.95
16875,0,172,40.86,-77.57
16876,0,27,40.96,-78.29
16877,0,97,40.7,-78.11
16878,0,91,40.94,-78.36
16879,0,22,40.96,-78.14
16881,0,97,41.03,-78.32
16882,0,29,40.92,-77.3
16901,0,234,41.74,-77.3
16911,0,6,41.68,-77.1
16912,0,50,41.68,-77.06
16914,0,32,41.83,-76.8
