Zipcode,Dispensary Count,Patient Count,Latitude,Longitude,Nearest Disp Distance,Nearest Disp Zipcode,Patient Miles
15536,0,18,39.93,-78.21,19.43448218,16634,349.8206792
16236,0,22,40.78,-79.52,19.4027315,15068,426.8600931
16724,0,3,41.75,-78.39,19.40238073,16701,58.20714218
16829,0,20,41.08,-77.87,19.38505906,16803,387.7011812
17314,0,279,39.76,-76.33,19.38357278,17602,5408.016806
16030,0,8,41.13,-79.79,19.35119438,16001,154.809555
17812,0,45,40.74,-77.22,19.33424408,17870,870.0409836
15853,0,422,41.42,-78.72,19.32954925,15801,8157.069783
17060,0,46,40.51,-77.86,19.32756638,16801,889.0680535
15446,0,23,40.03,-79.39,19.32606031,15650,444.4993871
17210,0,7,40.21,-77.66,19.3257471,17201,135.2802297
16049,0,115,41.09,-79.68,19.30070144,16001,2219.580666
17066,0,311,40.38,-77.88,19.29572301,16634,6000.969855
16646,0,89,40.66,-78.7,19.26091167,16602,1714.221138
16852,0,18,40.94,-77.54,19.25767304,16801,346.6381147
16821,0,4,40.96,-78.2,19.20333299,16803,76.81333197
16667,0,61,40.18,-78.53,19.15973633,16634,1168.743916
15561,0,2,40.09,-79.09,19.10146927,15901,38.20293855
18445,0,105,41.3,-75.32,18.97960142,18505,1992.858149
18460,0,16,41.27,-75.34,18.90812477,18505,302.5299963
15622,0,52,40.04,-79.32,18.89758563,15650,982.6744526
16837,0,4,40.95,-78.47,18.87881265,15801,75.51525059
16410,0,76,41.9,-80.34,18.87275979,16508,1434.329744
19362,0,187,39.74,-76.04,18.87014636,19348,3528.71737
16372,0,8,41.2,-79.87,18.81132837,16137,150.490627
17009,0,124,40.63,-77.56,18.80842643,16801,2332.244877
16616,0,8,40.77,-78.44,18.74863546,16602,149.9890837
16235,0,44,41.31,-79.38,18.74513382,15825,824.7858879
16221,0,2,41.1,-79.43,18.72519343,15825,37.45038686
17006,0,28,40.33,-77.51,18.67963963,17013,523.0299095
18466,0,724,41.18,-75.43,18.64195973,18360,13496.77884
15757,0,51,40.87,-78.72,18.63888707,15801,950.5832406
17321,0,88,39.75,-76.44,18.62141798,17402,1638.684782
16411,0,79,41.98,-80.44,18.58212045,16505,1467.987516
17220,0,16,40.19,-77.74,18.56225252,17201,296.9960403
